Movie_Name,Year,Genre,Director,RunTime,Rating,Metascore,Review_url,NumofVotes
Freedom Writers,2007,Biography Crime ,Richard LaGravenese,123 min,7.6,64,https://imdb.com/title/tt0463998/reviews,71288
Gandhi,1982,Biography  History,Richard Attenborough,191 min,8,79,https://imdb.com/title/tt0083987/reviews,219212
Foxcatcher,2014,Biography  History,Bennett Miller,134 min,7,81,https://imdb.com/title/tt1100089/reviews,135591
Joy,2015,Biography ,David O. Russell,124 min,6.6,56,https://imdb.com/title/tt2446980/reviews,129612
Ray,2004,Biography  Music,Taylor Hackford,152 min,7.7,73,https://imdb.com/title/tt0350258/reviews,139791
The Young Victoria,2009,Biography  History,Jean-Marc Vallée,105 min,7.3,64,https://imdb.com/title/tt0962736/reviews,58509
The Banker,2020,Biography ,George Nolfi,120 min,7.3,59,https://imdb.com/title/tt6285944/reviews,21164
Capote,2005,Biography Crime ,Bennett Miller,114 min,7.3,88,https://imdb.com/title/tt0379725/reviews,126631
The Last King of Scotland,2006,Biography  History,Kevin Macdonald,123 min,7.7,74,https://imdb.com/title/tt0455590/reviews,176937
Bronson,2008,Action Biography Crime,Nicolas Winding Refn,92 min,7.1,71,https://imdb.com/title/tt1172570/reviews,121973
Miracles from Heaven,2016,Biography  Family,Patricia Riggen,109 min,7.1,44,https://imdb.com/title/tt4257926/reviews,22573
Mask,1985,Biography ,Peter Bogdanovich,120 min,7.2,73,https://imdb.com/title/tt0089560/reviews,26357
Seven Years in Tibet,1997,Adventure Biography ,Jean-Jacques Annaud,136 min,7.1,55,https://imdb.com/title/tt0120102/reviews,131824
Fruitvale Station,2013,Biography Crime ,Ryan Coogler,85 min,7.5,85,https://imdb.com/title/tt2334649/reviews,76803
The Insider,1999,Biography  Thriller,Michael Mann,157 min,7.8,84,https://imdb.com/title/tt0140352/reviews,161416
Boys Don't Cry,1999,Biography Crime ,Kimberly Peirce,118 min,7.5,86,https://imdb.com/title/tt0171804/reviews,93089
Sixty Six,2006,Biography Comedy ,Paul Weiland,93 min,6.7,57,https://imdb.com/title/tt0493450/reviews,2674
Ed Wood,1994,Biography Comedy ,Tim Burton,127 min,7.8,70,https://imdb.com/title/tt0109707/reviews,166232
The Walk,2015,Action Adventure Biography,Robert Zemeckis,123 min,7.3,70,https://imdb.com/title/tt3488710/reviews,121415
Chaplin,1992,Biography Comedy ,Richard Attenborough,143 min,7.6,47,https://imdb.com/title/tt0103939/reviews,54259
The Butler,2013,Biography ,Lee Daniels,132 min,7.2,65,https://imdb.com/title/tt1327773/reviews,109892
Hotel Rwanda,2004,Biography  History,Terry George,121 min,8.1,79,https://imdb.com/title/tt0395169/reviews,337405
Loving Vincent,2017,Animation Biography Crime,Dorota Kobiela,94 min,7.8,62,https://imdb.com/title/tt3262342/reviews,51946
Frida,2002,Biography  Romance,Julie Taymor,123 min,7.4,61,https://imdb.com/title/tt0120679/reviews,82287
The Boy Who Harnessed the Wind,2019,Biography  History,Chiwetel Ejiofor,113 min,7.6,68,https://imdb.com/title/tt7533152/reviews,30846
3096 Tage,2013,Biography Crime ,Sherry Hormann,111 min,6.5,0,https://imdb.com/title/tt1667355/reviews,11477
The Stanford Prison Experiment,2015,Biography  History,Kyle Patrick Alvarez,122 min,6.9,67,https://imdb.com/title/tt0420293/reviews,38712
The Last Emperor,1987,Biography  History,Bernardo Bertolucci,163 min,7.7,76,https://imdb.com/title/tt0093389/reviews,95776
The Glass Castle,2017,Biography ,Destin Daniel Cretton,127 min,7.2,56,https://imdb.com/title/tt2378507/reviews,30496
Curiosa,2019,Biography  History,Lou Jeunet,107 min,5.4,0,https://imdb.com/title/tt7598076/reviews,1697
Togo,2019,Adventure Biography ,Ericson Core,113 min,8,69,https://imdb.com/title/tt5116302/reviews,39837
American Animals,2018,Biography Crime ,Bart Layton,116 min,7,68,https://imdb.com/title/tt6212478/reviews,39794
Alpha Dog,2006,Biography Crime ,Nick Cassavetes,122 min,6.9,53,https://imdb.com/title/tt0426883/reviews,99739
Ip Man 4: The Finale,2019,Action Biography ,Wilson Yip,107 min,7.1,62,https://imdb.com/title/tt2076298/reviews,25793
